keyword,weight,cluster_label
graphene,33.0668,0
removing,32.839,0
protection,32.835,0
pyrimidine,32.7504,0
arrangement,32.7105,0
tire,32.5647,0
heating,32.2254,0
plate,32.1347,0
microbial,32.1152,0
activity,31.8586,0
automated,31.6592,0
packaging,31.5785,0
fermentation,31.5061,0
substrate,31.3845,0
cartridge,31.247600000000002,0
ligands,31.2423,0
driving,31.2189,0
hydrocarbon,31.1155,0
vaccines,31.0275,0
agonists,31.0247,0
identification,30.9822,0
biomarkers,30.9643,0
sample,30.742,0
fibers,30.6921,0
polyester,30.683500000000002,0
memory,30.5332,0
test,30.4891,0
silicon,30.4141,0
mutant,30.4092,0
portable,30.2275,0
polynucleotides,30.2251,0
polymerization,30.0486,0
polypeptide,30.0061,0
infections,29.7063,0
preventing,29.6813,0
antagonists,29.3616,0
inflammatory,29.302500000000002,0
radiation,29.2951,0
biomass,29.2013,0
laminate,29.0351,0
enhancing,29.0311,0
seeds,29.0214,0
resistant,28.8439,0
solar,28.7963,0
performance,28.7229,0
enzyme,28.6847,0
dimensional,28.6578,0
surgical,28.5966,0
automatic,28.407,0
related,28.258,0
sequencing,28.2449,0
kit,28.1976,0
cable,28.0965,0
ester,28.0868,0
conductive,27.8114,0
recording,27.811,0
safety,27.8003,0
prevention,27.6254,0
3d,27.436,0
secondary,27.2629,0
separation,27.2558,0
fluids,27.0214,0
coatings,26.9991,0
molecule,26.8379,0
copolymers,26.7795,0
epoxy,26.7634,0
enzymes,26.6503,0
camera,26.6482,0
purifying,26.5635,0
foam,26.5121,0
generator,26.4991,0
microorganisms,26.4433,0
ethylene,26.4359,0
modulation,26.3882,0
alpha,26.2035,0
receptors,26.1613,0
liver,26.1544,0
lipid,26.1351,0
factor,26.1158,0
ball,26.084799999999998,0
animal,25.8619,0
coding,25.8508,0
circuit,25.8397,0
polyethylene,25.8229,0
access,25.7186,0
digital,25.4866,0
therefor,25.4447,0
recovery,25.421,0
reactor,25.3608,0
support,25.2798,0
lighting,25.2321,0
iron,25.1788,0
coated,25.102899999999998,0
free,25.0423,0
cooling,24.8794,0
silicone,24.6232,0
exhaust,24.6038,0
genes,24.5264,0
immunogenic,24.4694,0
layer,24.4055,0
lubricant,24.3504,0
copper,24.2776,0
diagnosing,24.2102,0
extraction,24.1897,0
viral,24.1023,0
fibrosis,24.0322,0
stability,23.9574,0
generating,23.9382,0
stem,23.9234,0
diagnostic,23.8476,0
chimeric,23.7572,0
function,23.6528,0
extract,23.483,0
molding,23.3989,0
target,23.3766,0
bicyclic,23.313200000000002,0
single,23.299,0
functional,23.2807,0
paper,23.2495,0
virtual,23.2084,0
assays,23.1405,0
infection,23.1401,0
tracking,22.8927,0
computing,22.8403,0
testing,22.8375,0
type,22.8339,0
door,22.8045,0
amine,22.778100000000002,0
variable,22.7616,0
catheter,22.7429,0
analogs,22.7338,0
hydraulic,22.6964,0
dual,22.6207,0
hepatitis,22.6014,0
modification,22.5824,0
identifying,22.4583,0
growth,22.4487,0
cellular,22.3805,0
increasing,22.2711,0
prediction,22.2607,0
channel,22.2589,0
dispersion,22.2578,0
catalysts,22.2518,0
calcium,22.1574,0
sensing,22.122,0
base,21.9928,0
refrigerator,21.9717,0
agonist,21.8675,0
sealing,21.7777,0
robot,21.7704,0
ophthalmic,21.7087,0
removal,21.6589,0
providing,21.5838,0
conversion,21.541999999999998,0
hiv,21.5211,0
complexes,21.4919,0
drilling,21.406299999999998,0
mechanism,21.3936,0
specific,21.2877,0
diabetes,21.2388,0
rotor,21.2187,0
absorbent,21.1966,0
plastic,21.1733,0
small,21.1732,0
form,21.1297,0
reinforced,21.1036,0
matrix,21.0685,0
hydrogel,20.9927,0
carrier,20.9374,0
care,20.8945,0
oxidative,20.8588,0
connection,20.8508,0
nanoparticle,20.7244,0
efficient,20.6946,0
sodium,20.6605,0
chromatography,20.6234,0
welding,20.6127,0
release,20.6008,0
internal,20.5962,0
unit,20.579900000000002,0
polypropylene,20.5569,0
medium,20.4806,0
membranes,20.4409,0
voltage,20.4211,0
increased,20.389499999999998,0
pipe,20.3639,0
reduction,20.3428,0
olefin,20.2232,0
interface,20.1916,0
including,20.1842,0
patient,20.1541,0
enzymatic,20.1386,0
fabric,20.1245,0
reagents,20.0848,0
electromagnetic,20.052500000000002,0
pigment,19.9889,0
hot,19.9788,0
transfer,19.9756,0
detergent,19.9649,0
tube,19.9373,0
useful,19.8886,0
double,19.8866,0
prostate,19.8852,0
genetic,19.8619,0
drive,19.8451,0
rapid,19.8043,0
conjugate,19.7868,0
additive,19.7591,0
tumors,19.7214,0
containers,19.6436,0
connector,19.6308,0
associated,19.6088,0
herbicidal,19.5704,0
pain,19.4935,0
wind,19.4282,0
batteries,19.3334,0
coupling,19.3315,0
construction,19.319,0
carboxylic,19.3183,0
program,19.267,0
aromatic,19.2399,0
polymerase,19.2318,0
silica,19.2306,0
catalytic,19.2143,0
acrylic,19.2133,0
audio,19.197,0
ammunition,19.096,0
amplification,19.0915,0
inhibition,19.0791,0
named,19.0696,0
lubricating,19.0632,0
dynamic,19.0407,0
joint,19.0391,0
seat,19.0067,0
waste,18.9672,0
vinyl,18.9641,0
washing,18.9482,0
cured,18.946,0
topical,18.9288,0
oligonucleotides,18.9191,0
controller,18.8975,0
components,18.8697,0
fluorescent,18.8502,0
synthetic,18.8436,0
self,18.8345,0
modulating,18.8118,0
ligand,18.7668,0
uplink,18.7588,0
frame,18.7261,0
conditions,18.7117,0
line,18.7083,0
signaling,18.6505,0
controlled,18.5981,0
mechanical,18.5573,0
adjustable,18.4815,0
reduced,18.4342,0
analyte,18.4274,0
apparatuses,18.3002,0
cationic,18.2866,0
optimization,18.2835,0
object,18.2618,0
carbonate,18.2526,0
screening,18.242,0
separator,18.2218,0
oxygen,18.1877,0
wide,18.1274,0
lymphocytes,17.8108,0
inkjet,17.8002,0
wound,17.7691,0
plasma,17.7482,0
kits,17.7296,0
immunoglobulin,17.6767,0
nano,17.6476,0
head,17.6376,0
prodrugs,17.6238,0
continuous,17.6222,0
feed,17.6193,0
ingredient,17.6002,0
printed,17.5931,0
lamp,17.5742,0
wheel,17.5716,0
fungal,17.4502,0
wall,17.3519,0
transparent,17.3261,0
speed,17.200499999999998,0
cannabinoids,17.195,0
vehicles,17.174,0
chain,17.1509,0
assay,17.116600000000002,0
polyamide,17.0566,0
nitrogen,17.0358,0
health,17.0161,0
infrared,17.0146,0
polymerizable,16.9702,0
dispenser,16.9573,0
aircraft,16.9548,0
aluminum,16.9418,0
protective,16.9241,0
corrosion,16.9104,0
screen,16.8904,0
drugs,16.8881,0
managing,16.8834,0
dioxide,16.7997,0
media,16.7766,0
complex,16.769000000000002,0
beverage,16.7492,0
gaming,16.6792,0
muscle,16.6751,0
polysaccharide,16.5811,0
carboxamide,16.5514,0
game,16.5192,0
microfluidic,16.5175,0
primary,16.4894,0
reaction,16.4796,0
server,16.3714,0
repair,16.3524,0
optimized,16.3522,0
platform,16.3521,0
alcohol,16.3515,0
regulatory,16.3482,0
pneumatic,16.3398,0
receiving,16.3317,0
inflammation,16.3156,0
authentication,16.3039,0
brake,16.2999,0
moving,16.2591,0
wave,16.244,0
glucose,16.2266,0
fused,16.1998,0
polyimide,16.1846,0
antigens,16.1284,0
friction,16.1,0
efficiency,16.043400000000002,0
insulin,16.035800000000002,0
environment,16.0101,0
vessel,15.9905,0
neurodegenerative,15.9696,0
sulfur,15.9426,0
vascular,15.9205,0
car,15.8512,0
antiviral,15.829,0
transport,15.7993,0
administration,15.7806,0
sound,15.7607,0
mask,15.7593,0
tablet,15.7558,0
targeting,15.7543,0
interactive,15.7137,0
software,15.7023,0
wire,15.6847,0
mass,15.6734,0
viruses,15.6568,0
web,15.6419,0
mixtures,15.6403,0
milk,15.6273,0
rotating,15.6183,0
vacuum,15.6037,0
fabricating,15.58,0
strength,15.5312,0
selective,15.5308,0
influenza,15.5163,0
speaker,15.5032,0
member,15.4893,0
long,15.4886,0
genetically,15.411999999999999,0
protease,15.4026,0
hollow,15.3421,0
pyridine,15.3414,0
functionalized,15.3077,0
bed,15.2903,0
converter,15.225100000000001,0
synthesizing,15.219899999999999,0
cardiac,15.1357,0
genome,15.1072,0
positive,15.1019,0
prepared,15.0705,0
universal,15.0536,0
dispensing,15.0329,0
films,15.0284,0
calibration,14.9846,0
cyclic,14.9139,0
cannabis,14.8834,0
cold,14.876900000000001,0
adjusting,14.8767,0
respiratory,14.8727,0
solvent,14.8656,0
cognitive,14.793,0
autoimmune,14.7623,0
beam,14.7305,0
secure,14.7191,0
supporting,14.7076,0
thermoelectric,14.6854,0
structures,14.6546,0
predicting,14.6516,0
acoustic,14.640699999999999,0
autonomous,14.63,0
eye,14.6232,0
chamber,14.6023,0
implementing,14.5831,0
micro,14.5757,0
optically,14.5745,0
lock,14.562299999999999,0
polycarbonate,14.55,0
agricultural,14.546,0
monoclonal,14.5244,0
injury,14.5183,0
drying,14.5099,0
expression,14.4904,0
alzheimer,14.4766,0
constructs,14.473700000000001,0
weight,14.469899999999999,0
external,14.4654,0
probe,14.4411,0
smart,14.4353,0
healing,14.4338,0
vector,14.4319,0
ethanol,14.4204,0
herbicide,14.4174,0
textile,14.3668,0
elements,14.3632,0
gamut,14.3134,0
engineering,14.2952,0
resistance,14.2477,0
piperidine,14.2454,0
service,14.2431,0
hydrocarbons,14.2356,0
phenyl,14.2155,0
dyeing,14.2086,0
heart,14.206199999999999,0
spray,14.1692,0
probiotic,14.1454,0
methyl,14.094100000000001,0
spectroscopy,14.0831,0
prosthesis,14.0742,0
pd,14.0673,0
thermally,14.0386,0
zinc,14.0316,0
block,14.017900000000001,0
pulmonary,14.0146,0
large,14.0121,0
renal,14.0059,0
adaptive,13.9495,0
content,13.9484,0
cannabinoid,13.9465,0
adhesives,13.9446,0
domain,13.934,0
zeolite,13.9204,0
rice,13.9179,0
magnesium,13.8998,0
conditioning,13.8487,0
pyrazole,13.8369,0
inorganic,13.8353,0
risk,13.8349,0
hydrophobic,13.7827,0
vitamin,13.7778,0
oils,13.7744,0
oxidation,13.7706,0
shell,13.767800000000001,0
filtration,13.7214,0
alignment,13.716899999999999,0
extracellular,13.7122,0
medicament,13.7044,0
exercise,13.6922,0
highly,13.690199999999999,0
laminated,13.6497,0
fluoride,13.5994,0
cement,13.5897,0
learning,13.5817,0
dye,13.5808,0
meth,13.5522,0
cross,13.5468,0
locking,13.5328,0
il,13.5321,0
flame,13.5312,0
housing,13.5256,0
biomarker,13.5227,0
switching,13.489600000000001,0
cover,13.4327,0
esters,13.430299999999999,0
pattern,13.415,0
rotary,13.4005,0
seal,13.3925,0
positioning,13.3749,0
installation,13.3032,0
tank,13.3013,0
vibration,13.2543,0
instrument,13.2425,0
bio,13.2423,0
table,13.239,0
blockchain,13.2094,0
elastic,13.2086,0
filling,13.2009,0
propylene,13.1934,0
bicycle,13.1913,0
array,13.1865,0
scheduling,13.1856,0
shaped,13.1502,0
neurological,13.1293,0
contact,13.1179,0
exchanger,13.0473,0
resins,13.0376,0
signals,13.0336,0
stabilizing,12.9833,0
plug,12.9675,0
mutations,12.9665,0
images,12.9625,0
space,12.9507,0
lettuce,12.9505,0
soil,12.9346,0
vectors,12.9293,0
distribution,12.9275,0
nuclear,12.9242,0
nucleotides,12.9156,0
derived,12.9077,0
quality,12.8808,0
design,12.8645,0
barrier,12.8473,0
mixture,12.838,0
dehydrogenase,12.8201,0
suspension,12.8098,0
recycling,12.8051,0
anticancer,12.8013,0
ring,12.7857,0
patients,12.7764,0
message,12.7375,0
stabilized,12.7271,0
neural,12.7046,0
obesity,12.6562,0
photovoltaic,12.6524,0
hydroxy,12.6521,0
wastewater,12.6365,0
cutting,12.6262,0
conjugated,12.5932,0
intermediates,12.5737,0
dry,12.5626,0
urea,12.5185,0
laundry,12.4856,0
novel,12.4771,0
protecting,12.4757,0
opioid,12.4732,0
bearing,12.4635,0
sensitive,12.4185,0
technology,12.4155,0
determination,12.4138,0
multilayer,12.4043,0
alkyl,12.3989,0
lung,12.3957,0
carboxamides,12.3793,0
blade,12.3791,0
surgery,12.3558,0
predictive,12.3386,0
generation,12.3211,0
connecting,12.301400000000001,0
toxin,12.2947,0
dihydro,12.2721,0
medicine,12.2715,0
lignin,12.2194,0
tyrosine,12.1956,0
spectrometer,12.1934,0
marker,12.1783,0
mineral,12.1783,0
gel,12.1664,0
linear,12.1616,0
nutritional,12.1477,0
wood,12.1452,0
brain,12.1294,0
core,12.1144,0
configuration,12.1115,0
irna,12.1113,0
estimation,12.1049,0
synchronization,12.0778,0
vitro,12.0572,0
breast,12.0518,0
variant,12.0353,0
pyrrolidine,12.027000000000001,0
epitopes,11.9973,0
led,11.9855,0
transcription,11.9672,0
manufactured,11.964,0
communications,11.9469,0
cap,11.9451,0
spectrometry,11.9376,0
herbicides,11.9342,0
graft,11.9236,0
emulsion,11.8941,0
nanotube,11.886800000000001,0
motion,11.878,0
resource,11.8761,0
polyolefin,11.8436,0
feedback,11.8362,0
jet,11.8359,0
liquids,11.8316,0
properties,11.8055,0
compression,11.7975,0
soft,11.756,0
editing,11.7429,0
polishing,11.7418,0
simulation,11.7117,0
chip,11.7034,0
soluble,11.7022,0
vivo,11.6669,0
mold,11.6531,0
syndrome,11.6267,0
phosphate,11.5936,0
cardiovascular,11.5825,0
switch,11.5795,0
compact,11.5793,0
thereto,11.5786,0
electron,11.5634,0
strawberry,11.5501,0
produced,11.5465,0
search,11.528,0
charging,11.4932,0
hydrogenation,11.489,0
cavity,11.4879,0
throughput,11.4792,0
glycol,11.4663,0
regeneration,11.4437,0
polynucleotide,11.44,0
glucagon,11.4245,0
substrates,11.4192,0
activators,11.4144,0
chloride,11.4117,0
parents,11.4115,0
bacillus,11.4103,0
building,11.4068,0
melt,11.4048,0
extracting,11.3574,0
humanized,11.3551,0
formation,11.3281,0
roller,11.3222,0
modifying,11.3213,0
hydrophilic,11.318200000000001,0
ray,11.303,0
excellent,11.2658,0
organ,11.2591,0
separating,11.2155,0
animals,11.2108,0
interleukin,11.1931,0
cd3,11.1889,0
inhibitory,11.183,0
quantum,11.1772,0
bispecific,11.1745,0
composites,11.1669,0
extracts,11.1559,0
fluorinated,11.1496,0
photosensitive,11.1311,0
hydrogels,11.1145,0
pancreatic,11.1063,0
metallic,11.0734,0
electrolytic,11.0532,0
culture,11.0481,0
fruit,11.0461,0
bag,11.0431,0
dyes,11.0279,0
guide,11.0248,0
samples,11.0223,0
fertilizer,11.0206,0
driver,11.0147,0
titanium,11.0136,0
seed,11.0111,0
package,11.0107,0
wiring,10.9751,0
adjustment,10.9712,0
sugar,10.9648,0
kidney,10.9499,0
oligomerization,10.9299,0
hydrochloride,10.9267,0
mobility,10.8569,0
magnet,10.8528,0
solutions,10.847,0
acetyl,10.8346,0
combinations,10.8224,0
inspection,10.8135,0
disorder,10.793,0
compressor,10.7814,0
microorganism,10.7658,0
keratin,10.76,0
tuberculosis,10.7576,0
reagent,10.7521,0
spinal,10.736,0
recovering,10.7083,0
frequency,10.694,0
smoking,10.6516,0
card,10.6492,0
pet,10.6407,0
verification,10.6347,0
dielectric,10.6343,0
pyrimidines,10.6009,0
mounting,10.5769,0
additives,10.557,0
curing,10.555,0
emergency,10.5481,0
ultrasonic,10.5454,0
parkinson,10.5361,0
intestinal,10.5217,0
actuator,10.5148,0
selection,10.509,0
pcr,10.495000000000001,0
therapeutics,10.4876,0
filtering,10.48,0
lipids,10.4719,0
box,10.4643,0
dehydrogenation,10.4399,0
nucleoside,10.3975,0
bioactive,10.3858,0
expandable,10.3789,0
vapor,10.3572,0
sleep,10.3472,0
aid,10.3429,0
therapies,10.3399,0
biosensor,10.3398,0
cloud,10.3299,0
industrial,10.325099999999999,0
state,10.2914,0
traffic,10.2788,0
pressurized,10.2619,0
insulation,10.2526,0
surfactant,10.2459,0
holder,10.2459,0
inducing,10.234,0
drill,10.180299999999999,0
uv,10.1767,0
refrigeration,10.1744,0
obtaining,10.1585,0
symptoms,10.1413,0
capture,10.1314,0
receiver,10.1241,0
decorative,10.0939,0
prosthetic,10.0735,0
fuels,10.0723,0
structural,10.048,0
starch,10.0461,0
crosslinked,10.0459,0
analogues,10.0296,0
carbide,10.0265,0
sulfide,10.0119,0
stress,9.9989,0
fermented,9.9957,0
streptococcus,9.989799999999999,0
anionic,9.9719,0
rail,9.9405,0
alcohols,9.9398,0
heteroaryl,9.9337,0
epithelial,9.9275,0
domains,9.9261,0
patterns,9.9188,0
metabolic,9.9176,0
band,9.9078,0
ammonia,9.9024,0
transgenic,9.9016,0
15,9.8978,0
damping,9.8898,0
turbocharger,9.8866,0
transplantation,9.8748,0
antagonist,9.8658,0
albumin,9.8632,0
layered,9.8504,0
ingredients,9.8503,0
activation,9.8468,0
gear,9.8222,0
quick,9.8149,0
prognosis,9.8029,0
conveyor,9.7949,0
touch,9.7704,0
benzodiazepine,9.7689,0
optic,9.7474,0
methionine,9.7379,0
libraries,9.7328,0
aerial,9.7326,0
promoting,9.73,0
spherical,9.729000000000001,0
working,9.726,0
gastrointestinal,9.7079,0
downhole,9.7042,0
vegf,9.6969,0
biodegradable,9.6968,0
performing,9.6812,0
ocular,9.6743,0
maintenance,9.6709,0
force,9.6465,0
fixing,9.6417,0
mutants,9.6355,0
techniques,9.6174,0
interaction,9.6171,0
optimizing,9.6094,0
operation,9.6092,0
repairing,9.6058,0
turbomachine,9.5797,0
paste,9.5771,0
implants,9.5552,0
gamma,9.554499999999999,0
chronic,9.554,0
capsule,9.542,0
stimulation,9.5366,0
promoter,9.5319,0
estimating,9.5258,0
antisense,9.5006,0
cycle,9.499600000000001,0
dosing,9.4978,0
interferon,9.4967,0
antibacterial,9.4542,0
intelligent,9.4335,0
etching,9.4292,0
synthase,9.411299999999999,0
activated,9.4081,0
aryl,9.4074,0
mrna,9.4061,0
metallocene,9.4001,0
steering,9.3965,0
press,9.3957,0
machining,9.3866,0
antifungal,9.3508,0
cleansing,9.3495,0
extended,9.347,0
leukemia,9.3452,0
pharmaceutically,9.3408,0
nickel,9.3381,0
olefins,9.325700000000001,0
sampling,9.3127,0
nucleotide,9.297,0
fluoropolymer,9.2905,0
detector,9.2844,0
sequence,9.2672,0
pyrrolo,9.2658,0
pi3k,9.2639,0
preparations,9.259599999999999,0
exchange,9.2589,0
nitride,9.2559,0
board,9.2342,0
isolating,9.2312,0
binder,9.2239,0
station,9.218,0
quinoline,9.2152,0
phosphorus,9.2096,0
rack,9.2052,0
integration,9.2029,0
encoded,9.193000000000001,0
adsorption,9.1861,0
negative,9.1841,0
lactobacillus,9.1755,0
isolation,9.1753,0
concrete,9.163,0
chemically,9.1506,0
insect,9.1502,0
fibres,9.1496,0
rechargeable,9.1418,0
scanning,9.121,0
automotive,9.1189,0
belt,9.1121,0
artificial,9.0896,0
sliding,9.0854,0
genomic,9.0848,0
appliance,9.0828,0
immunoconjugates,9.0566,0
shoe,9.052200000000001,0
powered,9.0414,0
fingerprint,9.0352,0
asphalt,9.008700000000001,0
loading,9.0071,0
dairy,9.003,0
objects,9.0015,0
oligosaccharides,8.9892,0
rod,8.9812,0
oligonucleotide,8.9667,0
parking,8.964500000000001,0
wiper,8.9569,0
regenerating,8.9478,0
aging,8.9435,0
tobacco,8.9385,0
internet,8.9176,0
time,8.9171,0
capacitor,8.9026,0
supply,8.8954,0
movement,8.8927,0
peroxide,8.8917,0
response,8.8856,0
wearable,8.8686,0
insulating,8.8509,0
ionic,8.845,0
hearing,8.8303,0
conditioner,8.8266,0
synergistic,8.8147,0
concentration,8.8145,0
sensors,8.8135,0
tau,8.81,0
assessing,8.8066,0
glp,8.8063,0
assessment,8.8058,0
applying,8.8048,0
affinity,8.8038,0
polymorphs,8.7715,0
optoelectronic,8.7711,0
analyzing,8.7685,0
oligomer,8.7609,0
multiplex,8.7538,0
visual,8.7514,0
current,8.7512,0
reporting,8.7458,0
super,8.7359,0
thyroid,8.724,0
room,8.722800000000001,0
reservoir,8.721,0
immunomodulatory,8.7157,0
glycoprotein,8.709,0
surfaces,8.7034,0
furniture,8.6899,0
engines,8.6724,0
attachment,8.6624,0
model,8.6472,0
layers,8.6165,0
steam,8.6135,0
shaft,8.605,0
downlink,8.604,0
multiplexed,8.5998,0
linkage,8.5789,0
surfactants,8.5778,0
viscosity,8.5771,0
microscope,8.5755,0
hypertension,8.5677,0
retardant,8.5409,0
foldable,8.5317,0
personal,8.5277,0
tools,8.5257,0
modulator,8.525,0
improve,8.516,0
intermediate,8.503499999999999,0
alloys,8.489,0
red,8.4584,0
machines,8.4445,0
medicaments,8.4345,0
transistor,8.4303,0
amide,8.4184,0
blends,8.413499999999999,0
assembling,8.4095,0
white,8.3953,0
methane,8.3809,0
document,8.3676,0
fishing,8.3673,0
disposable,8.3622,0
rf,8.3583,0
yarn,8.3529,0
bromodomain,8.3528,0
recognition,8.3389,0
phosphor,8.328,0
short,8.3269,0
fan,8.3145,0
microparticles,8.2942,0
strains,8.2919,0
bonding,8.2854,0
multifunctional,8.2814,0
nanocomposite,8.2799,0
unmanned,8.2728,0
hematopoietic,8.2313,0
pyrimidin,8.2223,0
shape,8.2085,0
fc,8.2014,0
implantation,8.1946,0
complement,8.1761,0
pesticidal,8.1686,0
adjuvant,8.1686,0
cyclodextrin,8.1616,0
location,8.1584,0
transducer,8.1504,0
axial,8.113,0
ether,8.1112,0
retinal,8.0912,0
utility,8.0883,0
scalable,8.0848,0
superabsorbent,8.0747,0
mri,8.0629,0
biocompatible,8.0566,0
robotic,8.0565,0
dialysis,8.0525,0
crystals,8.043,0
luminescent,8.042,0
index,8.0394,0
metals,8.0386,0
induction,8.0348,0
pyrazolo,8.026299999999999,0
fluorine,8.005,0
ii,8.0017,0
orthopedic,8.001,0
liposomes,7.9847,0
acetate,7.978,0
floor,7.9697,0
mixing,7.9639999999999995,0
boiler,7.9353,0
stabilization,7.9338,0
multimedia,7.9315999999999995,0
benzimidazole,7.9289000000000005,0
